  5.6649563E-03   1.037335      1.0628299E-02           1
  7.0811952E-03   1.029799      9.4716493E-03           1
  8.4974337E-03   1.025938      8.6301649E-03           1
  9.9136727E-03   1.015214      7.9481127E-03           1
  1.1329911E-02  0.9967718      7.3669399E-03           1
  1.2746149E-02   1.002658      6.9660963E-03           1
  1.4162387E-02  0.9839767      6.5467642E-03           1
  1.5578624E-02  0.9811257      6.2330454E-03           1
  1.6994862E-02  0.9778787      5.9578037E-03           1
  1.8411098E-02  0.9776778      5.7234853E-03           1
  1.9827336E-02  0.9716251      5.4981895E-03           1
  2.1243572E-02  0.8943927      5.0962749E-03           1
  2.2659808E-02  0.6293054      4.1390928E-03           1
  2.4076043E-02  0.3004484      2.7745648E-03           1
  2.5492279E-02  0.1446613      1.8710025E-03           1
  2.6908513E-02  9.2136845E-02  1.4533638E-03           1
  2.8324746E-02  6.1199144E-02  1.1544953E-03           1
  2.9740980E-02  4.6793859E-02  9.8518841E-04           1
  3.1157212E-02  3.3896137E-02  8.1921584E-04           1
  3.2573443E-02  2.6911346E-02  7.1390165E-04           1
  3.3989675E-02  2.2668378E-02  6.4141519E-04           1
  3.5405908E-02  1.7541286E-02  6.7725960E-05           1
  3.8946480E-02  1.0949625E-02  5.1018520E-05           1
  4.2487051E-02  7.2085303E-03  3.9633043E-05           1
  4.6027616E-02  5.0458885E-03  3.1858250E-05           1
  4.9568173E-02  3.6217791E-03  2.6008893E-05           1
  5.3108726E-02  2.6352657E-03  2.1433427E-05           1
  5.6649271E-02  2.0342064E-03  1.8233191E-05           1
  6.0189810E-02  1.6170682E-03  1.5771211E-05           1
  6.3730344E-02  1.2722819E-03  1.3595053E-05           1
  6.7270868E-02  1.0321883E-03  1.1918684E-05           1
  7.0811383E-02  8.6127059E-04  1.0612028E-05           1
  7.4351892E-02  6.9761084E-04  9.3205817E-06           1
  7.7892385E-02  5.9732236E-04  8.4263775E-06           1
  8.1432872E-02  4.8528917E-04  7.4282757E-06           1
  8.4973358E-02  4.0634343E-04  6.6542079E-06           1
  8.8513821E-02  3.5107613E-04  6.0602329E-06           1
  9.2054278E-02  2.8648268E-04  5.3681788E-06           1
  9.5594727E-02  2.5737693E-04  4.9930768E-06           1
  9.9135160E-02  2.1811547E-04  4.5137076E-06           1
  0.1026756      1.8859419E-04  4.1241874E-06           1
  0.1062160      1.5232521E-04  3.6442279E-06           1
  0.1097564      1.2775874E-04  3.2832293E-06           1
  0.1132968      1.1624919E-04  3.0825463E-06           1
  0.1168372      9.7591677E-05  2.7813082E-06           1
  0.1203775      8.0569240E-05  2.4897747E-06           1
  0.1239178      6.9300324E-05  2.2759616E-06           1
  0.1274582      5.8223653E-05  2.0570471E-06           1
  0.1309985      5.2057116E-05  1.9186346E-06           1
  0.1345388      4.4357454E-05  1.7476609E-06           1
  0.1380790      3.6650552E-05  1.5681610E-06           1
  0.1416193      3.0422851E-05  5.9758761E-08           1
  0.1458676      2.4506029E-05  5.2852389E-08           1
  0.1501159      1.9648971E-05  4.6657959E-08           1
  0.1543641      1.5433590E-05  4.0787839E-08           1
  0.1586123      1.1971937E-05  3.5446849E-08           1
  0.1628605      9.0702433E-06  3.0457226E-08           1
  0.1671087      6.7447786E-06  2.5941167E-08           1
